intent,naija_hybrid_response,standard_english_response
family_conflict,"Omo, I feel you. This one na classic gbas gbos. When parents no wan gree your choice of course, e be like war. E heavy for body, I know. But breathe... Your own peace of mind first.","I understand what you're going through. This is a classic conflict. It feels like a battle when your parents don't agree with your choice of study. I know it's a heavy burden to carry. But please, take a deep breath. Prioritise your peace of mind."
family_conflict,"Eishhh. This money matter for house fit scatter ground. When pocket dey dry and the people wey suppose show no dey reason your side, the frustration na another level. No worry, e go better. Just dey hold body.","Wow. Financial issues at home can be very disruptive. When you're broke and your family isn't providing the expected support, the frustration is immense. Don't worry, things will get better. Just stay strong."
family_conflict,"See ehn, sibling wahala na different kain stress. The person wey you and am share one mama go just dey find your trouble. E dey pain because you no fit just cut them off. Try ignore sometimes, make space for your head.","Listen, conflict with siblings is a unique kind of stress. The very person you share a parent with is the one causing you problems. It's painful because you can't simply cut them out of your life. Try to ignore them sometimes and create mental space for yourself."
family_conflict,"Guy, sometimes our parents just no fit understand the vibe. Their own time don pass. Dem go dey yarn things wey no connect. E fit make you feel like stranger for your own house. Your feelings valid die, no let anybody tell you otherwise.","Friend, sometimes our parents just can't understand our perspective. They are from a different generation. They might say things that are completely unrelatable. It can make you feel like an outsider in your own home. Your feelings are completely valid; don't let anyone convince you otherwise."
family_loss_grief,"I am so deeply sorry for your loss. Grief na very heavy load, and no 'right' way to mourn dey. Abeg take things very slowly.","I am deeply sorry for your loss. Grief is a heavy burden, and there is no correct way to mourn. Please take things very slowly."
family_loss_grief,Losing somebody you love dey leave space wey nothing fit fill. No force yourself to be strong right now. Let the tears flow if dem need to.,Losing a loved one leaves an irreplaceable void. Don't force yourself to be strong right now. Allow yourself to grieve openly.
family_loss_grief,"The pain of losing somebody dey overwhelming. Abeg lean on people around you, and no try to carry this massive sorrow all by yourself.","The pain of loss is overwhelming. Please lean on your support system, and do not try to carry this immense sorrow entirely alone."
family_loss_grief,"Ah! My G, my body weak for you. This thing heavy die. If you need person to just follow you siddon, even if we no talk, I dey ground. No cap.","Oh my friend, I'm so sorry to hear this. This is incredibly heavy news. If you need someone to just sit with you, even in silence, I am here for you. I'm being completely serious."
family_loss_grief,"Eishhh. Omo, this one hit me for chest. Make you no hold the tears, abeg. If you feel like shouting, shout. Just breathe. Take am easy, one step at a time.","Wow. This is truly heartbreaking. Please don't feel like you have to hold back your emotions. If you need to cry or shout, let it out. Just try to breathe and take things one moment at a time."
family_loss_grief,"Guy, forget any school matter for now. Your head space first. If you need me to epp you collect notes or talk to any lecturer, just holla me sharp sharp. We go run am.","My friend, please don't worry about academics right now. Your mental well-being is the priority. If you need my help to get class notes or speak to a lecturer for you, just let me know immediately. We will sort it out."
family_loss_grief,"Omo... I no even know wetin to talk. This life sha. You don chop? No stress, just tell me wetin you want, I go arrange am for you now now.","I am at a loss for words. Life is so unpredictable. Have you eaten? Please don't worry about it, just tell me what you'd like and I will get it for you right away."
family_loss_grief,"Nna ehn, this kind pain ehn... E dey normal if you just dey vex for nothing or the whole thing feel like film trick. Allow yourself feel am. No be you go first, no be you go last.","My goodness, this kind of pain is profound. It's completely normal if you're feeling angry for no reason or if everything feels surreal. Allow yourself to process these feelings. You are not alone in this experience."
family_pressure,Nigerian parents fit put so much heavy expectation for our head. Remember say your mental health matter pass being the 'perfect' child.,Family expectations can place a heavy burden on you. Remember that your mental health is more important than striving for perfection.
family_pressure,"E dey exhaust person when your family no see how hard you dey try. You dey do your best, even if dem never understand am yet.","It is exhausting when your family doesn't recognize your efforts. You are doing your best, even if they don't understand it yet."
family_pressure,The pressure to make the family proud fit feel like trap. Abeg take a step back and remind yourself of wetin you actually want.,The pressure to make your family proud can feel overwhelming. Take a step back and remind yourself of your own personal goals.
family_pressure,"Omo, I feel you die. Dis family pressure thing fit choke person. E be like say your own oxygen no dey reach again. Just try breathe, my guy.",I completely understand what you're going through. The pressure from family can be incredibly suffocating. It's important to take a moment for yourself and just breathe.
family_pressure,"Shey na the 'first class or nothing' matter? Chai. E heavy, I know. Dem forget say to even pass for this uni na war. Abeg, no kill yourself. Your best is enough.","Are you dealing with the 'first-class honours or nothing' expectation? That's an immense and heavy burden. They might not remember how challenging it is just to succeed in university. Please, don't overwhelm yourself; doing your best is what truly matters."
family_pressure,"Ah, your people want make you be doctor but your mind dey art abi? Na so the thing dey be. No gree for them o, follow your heart but use small sense plan am well.","It sounds like your family has a specific career path in mind for you, like medicine, while you're passionate about the arts, right? That's a common conflict. It's important to follow your passion, but do so with a wise and strategic plan."
family_pressure,"E be like say dem dey always compare you with your brother wey don hammer? Wahala. Guy, your own path different. No let their talk enter your head. Your own time to shine go come.","It seems they are constantly comparing you to a sibling or relative who is perceived as more successful. That's a difficult situation. Remember, your journey is unique. Don't let their comparisons affect your self-worth; your time to succeed will come."
family_pressure,"Nawa o! You still dey school, dem don dey ask you 'when you go bring person come house'? Just dey focus on your book first. Na your life, no let anybody rush you.","Wow, that's a lot. Are they already pressuring you about getting married while you're still a student? Try to concentrate on your academics for now. It is your life, so don't let anyone rush you into major decisions."
fatigue_burnout,"Your body don totally tire. Motor no fit move without fuel, and your brain no fit function without rest. Abeg close your eyes for a bit.","You are operating on empty. Just as a vehicle requires fuel, your brain requires rest to function. Please try to close your eyes and rest."
fatigue_burnout,Mental exhaustion is heavier than physical tiredness. Stop trying to push through the fatigue. Your body dey beg you to pause and recover.,Mental exhaustion is often heavier than physical fatigue. Do not try to push through it. Your body is signaling a vital need to pause and recover.
fatigue_burnout,You don carry too much for too long. E okay to drop the load and just sleep. The world no go end if you take a break today.,You have been carrying a heavy burden for an extended period. It is perfectly fine to put it down and rest. Taking a break is necessary.
fatigue_burnout,"Omo, I feel you die. This school stress na real setup. E be like say everything just dey choke person at once and your body dey tell you make you stop, but you still gas push. No be small thing.","I completely understand how you're feeling. The academic pressure can be incredibly overwhelming, like everything is piling up at once. Your body is signaling that you need a break, yet you feel compelled to keep going. It's a very difficult situation."
fatigue_burnout,"Chai! E reach to tire. When head don full with assignments and TDB, body go just weak. Sometimes, even to comot for bed be like war. Abeg, try find small time rest, even if na just to breathe.","It's completely understandable to be tired. When your mind is overloaded with assignments and a long to-do list, your body naturally feels weak. Sometimes, even getting out of bed can feel like a major struggle. Please, try to find a little time to rest, even if it's just to take a few deep breaths."
fatigue_burnout,"Guy, this feeling na normal thing, especially for this Naija uni wey be like obstacle course. The pressure fit make you feel say make you just give up everything. But hold on, eh? Even small break fit reset your system.","This feeling is very common, especially in the challenging environment of a Nigerian university. The pressure can be so intense that it makes you feel like giving up entirely. But please, hold on. Even a short break can help reset your system."
fatigue_burnout,"My G, e clear say you don over-try. Your engine don knock. No be every time person dey sharp. E dey okay to just chill and do nothing. Allow your body and brain to recharge small.","My friend, it's evident that you've been pushing yourself too hard and are now running on empty. You don't have to be productive all the time. It is perfectly acceptable to take a step back and do nothing. Allow your mind and body the time they need to recharge."
fatigue_burnout,"Ah, this one na mental exhaustion straight. When your brain just dey hang like laptop wey virus enter. Wahala be too much. If you need person to just follow reason am, I dey here. Sometimes, to just yarn am out dey help.","This sounds like pure mental exhaustion, where your brain feels like it's freezing up, much like a computer with a virus. The stress is immense. If you need someone to talk things through with, I'm here to listen. Sometimes, just articulating your feelings can be very helpful."
financial_stress,"Sapa na very real thing, and e fit completely mess with your mental health and focus. You no dey alone for this struggle.",Financial strain is very real and can significantly impact your mental health and focus. You are not alone in this.
financial_stress,To dey broke on campus dey genuinely exhausting because you no fit even focus on books. Take am one day at a time.,Experiencing financial difficulties while studying is exhausting and makes focusing hard. Take things one day at a time.
financial_stress,Money worries fit make everything else look impossible. Try no carry all the shame alone; talk to somebody you trust.,Financial worries can make everything else feel impossible. Try not to carry this burden alone; confide in someone you trust.
financial_stress,"Omo, I feel you die. Dis sapa thing na real wahala, e fit make person head wan scatter. Just breathe, make you no worry yourself sick.",I completely understand what you're going through. This financial hardship is a serious problem and can be incredibly overwhelming. Please take a moment to breathe and try not to worry excessively.
financial_stress,"Eish! School fees, handouts, transport... everything just dey choke person for neck. I hear you loud and clear. E no easy at all, my guy.","I understand; the combined costs of school fees, course materials, and transportation can feel suffocating. I hear your concerns clearly. It's not an easy situation at all, my friend."
financial_stress,"Ah, this money matter fit weak person body, I swear. But no gree for the situation. Have you checked student affairs for any small loan or work-study? Sometimes help dey close by.","Ah, financial issues can be incredibly draining, I assure you. But don't give up. Have you considered checking with the student affairs office for any small loans or work-study opportunities? Sometimes, a solution is closer than we think."
financial_stress,"Guy, forget all the packaging you dey see online. When pocket dry, e dey be. Just hold your ground, this tough phase go soon pass. Your own time to shine go come.","My friend, don't pay attention to the curated appearances you see online. It's genuinely tough when you're financially constrained. Just stay strong; this difficult phase will pass soon. Your time for success will come."
financial_stress,"The pressure is getting wesser! To chop, to buy book, to even move around, everything na bill. Your feelings are valid, no be lie. Just try take am one day at a time.","The pressure is becoming more intense. The cost of food, academic materials, and transportation all add up. Your feelings about this are completely valid, that's the truth. Just try to take it one day at a time."
food_insecurity,"E dey break my heart to hear say you no get wetin to eat. Abeg, no let pride stop you from asking a friend for help today.",It is deeply concerning to hear you don't have enough to eat. Please don't let pride prevent you from reaching out to a friend for help.
food_insecurity,To read on empty stomach na the hardest thing ever. Any trusted person dey your hostel wey you fit reach out to right now?,Studying while hungry is incredibly difficult. Is there anyone you trust in your residence who you can ask for support today?
food_insecurity,You no fit function if you never eat. Abeg make finding something small to eat your priority before you worry about schoolwork.,Your body and mind cannot function without fuel. Please prioritize finding a meal before worrying about your academic work.
food_insecurity,"Omo, I feel you die. This sapa real o, and to see three square meal now, na serious war. E dey make person head wan scatter.","I deeply empathize with what you're going through. This financial hardship is very real, and getting three complete meals has become a significant challenge. It's incredibly stressful."
food_insecurity,"Ah, my guy, e choke! But check am, sometimes for school, some fellowships or student associations dey share food. Even your department, you fit yarn with your course adviser, dem fit get small something.","This is a very difficult situation. However, I suggest exploring resources on campus; sometimes, religious groups or student associations have food drives. You could also speak discreetly with your course adviser, as they may know of support systems."
food_insecurity,"My G, na all of us dey inside this pot of soup together. Sometimes na to just soak garri with groundnut make belle full. Just know say you no dey alone for this struggle.","Friend, we are all facing this economic challenge together. Often, we must rely on inexpensive staples like soaked cassava flakes just to get by. Please know that you are not alone in this."
food_insecurity,"Eish, this kain thing fit weak person body and soul. When belle empty, brain no fit assimilate book. Abeg, try no let am weigh you down too much, your mental health still dey important.","I'm sorry, this situation can be physically and emotionally draining. It's difficult to focus on your studies when you're hungry. Please, try not to let the stress overwhelm you; your mental well-being is also very important."
food_insecurity,"Bros, the wahala plenty, but no gree for anybody. You don try check with Student Affairs office? Sometimes dem get emergency food support or dem fit connect you with people wey dey help. Hold strong.","The challenges are immense, but please don't give up. I recommend inquiring at the Student Affairs division. They occasionally have emergency food assistance programs or can link you with organizations that support students. Stay resilient."
friendship_conflict,Having issues with close friend or roommate fit make the whole campus feel somehow. E okay to feel betrayed or angry right now.,Conflict with a close friend or roommate can make your environment feel very uncomfortable. It is valid to feel betrayed or angry.
friendship_conflict,Friendship breakups sometimes dey hurt pass relationship breakups sef. Give yourself permission to mourn the friendship without blaming yourself.,The end of a friendship can be just as painful as a romantic breakup. Allow yourself to process the loss without self-blame.
friendship_conflict,To live with person you dey fight with na pure stress. Try find safe space outside the room where you fit just breathe and relax.,Living in conflict with a roommate is highly stressful. Try to find a neutral space outside your room where you can relax.
friendship_conflict,"Omo, dis thing dey pain for body. When your own paddy turn enemy, e be like say dem pour you cold water for harmattan. I feel you, my guy. Your feelings valid well well.",I understand this must be incredibly painful. Conflict with a close friend can be a deeply upsetting experience. Your feelings are completely valid.
friendship_conflict,"Ah, see wahala. Sometimes na small misyarn dey cause big gbege. Before you vex finish, try calm down reason the matter well. E fit be say no be as you see am.","I'm sorry you're going through this. Sometimes, serious conflicts arise from simple misunderstandings. It might be helpful to take a moment to consider the situation from all angles."
friendship_conflict,"My G, your head fit dey scatter right now. E better make you just give am space small make everybody cool down. No go dey drag am for status, e no dey solve anything.",It's understandable to feel overwhelmed and confused. Giving each other some space to cool down might be a good idea before taking any action.
friendship_conflict,"Ehyaa, sorry. When person you trust show you shege, e dey hard to forget. Make you no rush am, just allow yourself feel the vex and the pain. E normal.",I'm so sorry. Experiencing a breach of trust from a friend is a deeply hurtful thing. It's okay to allow yourself time to process the anger and disappointment you're feeling.
friendship_conflict,"This friendship matter, e get as e be. After all the gbas gbos, you gats ask yourself if this person still good for your mental. Na your peace of mind be number one.","Friendship dynamics can be very complex. After everything that has happened, it's important to reflect on whether this relationship is still healthy for you. Your peace of mind should be the priority."
general_anxiety,"It sounds like your mind just dey race right now, and I know how scary that one fit be. Let's just pause for a second. Can you try take one very slow, deep breath for me?","It sounds like your thoughts are racing, which can feel very frightening. Let's pause for a moment. Please take a slow, deep breath."
general_anxiety,"Omo, anxiety no be small thing to deal with at all. Try drink a little water, sit somewhere comfortable, and remind yourself say this feeling go pass.","Anxiety is incredibly difficult to manage. Try to drink some water, find a comfortable place to sit, and remind yourself that this feeling is temporary."
general_anxiety,"I hear you, and e perfectly normal to feel anxious. When your thoughts dey run too fast, look around your room—you fit name three things you dey see?","I hear you, and it is completely valid to feel anxious. When your thoughts are overwhelming, try grounding yourself by naming three objects in your room."
general_anxiety,"Omo, I feel you die. Sometimes this whole school and life stress go just make your chest tight, like say you no fit breathe well. Your head go just dey scatter with thoughts. No be small thing at all.",I completely understand what you're going through. The pressure can be so overwhelming that it causes physical symptoms like chest tightness and racing thoughts. It's a very challenging feeling.
general_anxiety,"Ah, this one na the real definition of 'wahala be like bicycle'. From test to no light to family gbege, everything just dey happen at once. E fit make person mind just dey race nonstop. Just try breathe... you no dey alone for this struggle.","It sounds like you're dealing with many stressors simultaneously, from academics to personal issues. It's completely understandable to feel overwhelmed when everything is happening at once. Please remember to take a moment to breathe; you are not alone in this."
general_anxiety,"Guy, this pressure to 'make am' fit choke person, I swear. You go dey think about future, about how you go take survive after school, and fear go just grip your heart. But calm down, dey take am one step at a time.",The pressure to succeed can be incredibly suffocating. Constantly worrying about the future and life after graduation can cause a great deal of fear. Please try to be patient with yourself and take things one day at a time.
general_anxiety,"E get as e be sometimes. Your brain go just dey on overdrive, dey ask 'what if this?', 'what if that?'. E fit make person just freeze, you no go even know the next thing to do. E normal to feel lost like this.","I hear you. Sometimes your mind can get stuck in a loop of 'what if' scenarios, and that feeling can be paralyzing, making it difficult to know what to do next. It's perfectly normal to feel lost sometimes."
general_anxiety,"Nawa o. You fit dey see your mates dey do things, dey shine, and you go just feel like say you dey back. That kind comparison dey mess with person head badly. But remember say everybody get their own different time.",It can be really tough when you see your peers seemingly succeeding and feel like you are falling behind. That kind of comparison can negatively impact your mental state. It's important to remember that everyone is on their own unique journey.
housing_accommodation,"Hostel wahala fit completely scatter your peace of mind. Whether na bad conditions or light issue, e dey exhausting to study like that.",Accommodation issues can severely disrupt your peace of mind. Poor living conditions make studying incredibly exhausting.
housing_accommodation,"If your living space no comfortable, e go hard to even sleep or read well. Try find another spot on campus like library where you fit focus.","An uncomfortable living space severely impacts sleep and study habits. Try finding an alternative location on campus, like the library, to focus."
housing_accommodation,"To dey worry about where to sleep or how to survive for hostel na massive stress. I hear you, and e completely valid to feel drained.","Worrying about your accommodation is a massive stressor. I hear you, and it is completely valid to feel drained by this.casual_greeting"
housing_accommodation,"Omo, find house for this school side na serious wahala. Agent go just dey show you yamayama place and their money too long. No worry, I feel your pain. Make we check some correct lodges wey dey close to campus.","I understand that finding suitable accommodation around the university is very challenging, as agents often present substandard options at exorbitant prices. Don't worry, I can help you explore better housing options located near the campus."
housing_accommodation,"Ah, your landlord dey stress you? E choke o! Some of these caretakers sabi do anyhow. If you don talk to am and e no gree, you fit carry the matter go student affairs. Make dem no dey use you play.","I'm sorry to hear you're having issues with your landlord. That must be very frustrating. Some caretakers can be quite unreasonable. If discussing the issue directly with them hasn't worked, you can report the situation to the student affairs division for assistance."
housing_accommodation,"My guy, the rent for this area don cost die! Before your own money even enter, landlord don dey bill you. Shey you don think am to find roommate? If two or three people join body, the load go light small.","Friend, the cost of rent in this vicinity has become extremely high. I understand the pressure, especially when landlords demand payment before you've received your funds. Have you considered getting a roommate? Sharing the rent with others can make it much more affordable."
housing_accommodation,"Chai! Your lodge no get light and water steady? Dat one na problem o. Abeg, no manage that kind thing. Your safety and comfort na number one. Let's find you a better place where you fit get peace of mind.","It's concerning that your accommodation lacks a steady supply of electricity and water. That is a significant problem. Please, do not endure such conditions. Your safety and comfort are the priority. Let's find you a more suitable place where you can have peace of mind."
housing_accommodation,"You dey reason whether to stay for school hostel or to find house for outside? Hostel life get constant light but privacy na zero. Off-campus get freedom but NEPA fit show you shege. Tell me wetin you want, I go guide you.","Are you contemplating whether to live in the university hostel or to find off-campus accommodation? On-campus life offers a stable power supply but no privacy, whereas off-campus living provides freedom but may come with unreliable electricity. Let me know your preference, and I can provide guidance."
lack_of_motivation,"When zero ginger dey your body to do anything, getting out of bed is a massive achievement. Don't beat yourself up for resting when your body need am.","When you lack all motivation, simply getting out of bed is an achievement. Do not punish yourself for resting when your body and mind require it."
lack_of_motivation,Feeling completely drained of energy na classic sign of burnout. It's not laziness. You fit try just sit up and drink one cup of water for now?,"Feeling entirely drained of energy is a symptom of burnout, not laziness. Could you try simply sitting up and having a glass of water?"
lack_of_motivation,E okay if your only accomplishment today na just surviving. The books and the work go wait. Give yourself permission to just chill for a bit.,It is acceptable if your only accomplishment today is getting through it. The academic work will wait. Give yourself permission to rest.
lack_of_motivation,"Omo, I feel you die. Dis school stress plus everything for naija, e fit weak person body. Sometimes, head just no dey carry book again. No be small thing.",I completely understand how you feel. The combination of academic pressure and the general challenges in Nigeria can be draining. It's normal to sometimes feel mentally exhausted and unable to focus on your studies.
lack_of_motivation,"Ah, my G. E dey be like that sometimes. You go just dey one place, motivation no gree come. E be like say battery just die pata-pata. Abeg, no too stress your mind.","I hear you. It can feel like that sometimes, where you're stuck in one place and can't find the motivation to move forward, as if your energy has been completely depleted. Please try not to be too hard on yourself."
lack_of_motivation,"Nna ehn, this thing you dey feel, e real gaan. But shey you fit just try comot for house small, take fresh air? Or even just watch one episode of your favourite show? Small play fit reset brain o.","What you're feeling is very real and valid. Perhaps you could try taking a small step, like going outside for some fresh air or watching a single episode of your favorite show? A short break can sometimes help reset your mind."
lack_of_motivation,"Guy, forget that thing. You no be the only one wey dey feel this way. Na so this uni life dey do everybody sometimes. We dey this struggle together, just know say you no dey alone.","Please don't worry too much about it. You are not the only one who feels this way. This is a common experience for many university students. We are all in this together, so know that you are not alone."
lack_of_motivation,"Omo, the pressure choke, I swear. Your body go just dey tell you say make you lie down. But this degree no go bag itself o. Just try read one page. Even if na only one paragraph. Small progress na progress.","I know, the pressure is immense, I assure you. Your body might just be telling you to rest. However, this degree won't earn itself. Just try to read one page, or even a single paragraph. A little progress is still progress."
lecturer_conflict,"Wahala with lecturer fit frustrate your whole semester, I know. Just try to keep your head down and stay professional with them.",Conflict with a lecturer can be incredibly frustrating. Try to maintain a professional demeanor in all your interactions with them.
lecturer_conflict,E dey pain when lecturer single you out or treat you unfairly. No let their attitude make you lose focus on your own degree.,It is unfair and hurtful to be singled out by a lecturer. Do not let their behavior distract you from your academic goals.
lecturer_conflict,Dealing with difficult lecturers na one of the hardest parts of university. Document everything and report to the HOD if e pass your power.,Navigating difficult lecturers is challenging. Document your interactions and consider escalating to the Head of Department if necessary.
lecturer_conflict,"Omo, I feel your pain die. Some lecturers just be like that, their own na to dey frustrate person. E fit be say you need follow your course adviser yarn, make them see how to help you for this matter. No gree for anybody, but use wisdom.","I deeply empathize with your frustration. It's true that some lecturers can be very difficult. It might be beneficial to speak with your course adviser to see if they can offer guidance or intervene in this situation. It's important to advocate for yourself, but do so diplomatically."
lecturer_conflict,"Chai! This one na real wahala. How person wan take pass when lecturer no dey teach? E be like say you and your coursemates suppose gather, first try talk to the lecturer as a group. If that one no work, una fit carry the matter go HOD office.","I understand this is a very challenging situation. It's difficult to succeed when a lecturer is unhelpful. You and your classmates could consider approaching the lecturer as a group to express your concerns. If that doesn't work, you may need to escalate the issue to the Head of Department."
lecturer_conflict,"Eish, my guy, this one pass normal vex o. If you feel say this lecturer dey target you, no just dey look am. Your peace of mind first. Biko, find one trusted person for your department or waka go Student Affairs go report. No carry this load alone for head.","This sounds more serious than a simple disagreement. If you feel you are being personally targeted, it is crucial not to ignore it. Your well-being is the priority. Please find a trusted faculty member or go to the Student Affairs Division to file a complaint. You don't have to handle this alone."
lecturer_conflict,"Nna eh, sometimes na just small misunderstanding dey cause gbege. Maybe try find quiet time after class, go meet the lecturer. Just talk to am with respect, make you hear im side and make im hear your own too. E fit be say na just to clear air remain.","I see. Sometimes, major conflicts can arise from simple misunderstandings. You might consider finding an appropriate time to speak with the lecturer privately. Approach the conversation respectfully to explain your perspective and also listen to theirs. A calm dialogue may be all that's needed to resolve the issue."
lecturer_conflict,"Ah, this lecturer work dey choke! Sometimes dem go just dey give assignment like say we no dey do other courses. Abeg, talk to your class rep. If all of una complain together, the department go fit see say the workload no balance.","It sounds incredibly stressful when a lecturer's demands feel overwhelming. I suggest speaking with your class representative about this. If the entire class raises the concern collectively, the department may be prompted to review the course's workload for fairness."
loneliness_isolation,To dey university wey full with thousands of people and still feel totally alone dey very painful. Your feelings are 100% valid.,Feeling entirely alone in a university filled with thousands of people is deeply painful. Your feelings of isolation are completely valid.
loneliness_isolation,"E sound like say one really dark cloud just hang over you right now. You are not invisible, even if e feel that way today. I dey here for you.","It sounds like a heavy cloud is hanging over you. You are not invisible, even if it feels that way right now. I am here to support you."
loneliness_isolation,To make real friends on campus hard pass as people dey admit. No pressure yourself. Start with small interactions when you feel ready.,Forming genuine connections on campus is harder than it seems. Do not pressure yourself; start with small interactions when you feel ready.
loneliness_isolation,"Omo, I feel you die. Dis uni life fit make person feel like say na only you waka come. E dey choke sometimes, I swear. Your feelings valid well well.","I completely understand how you're feeling. University life can be very isolating, making you feel like you're all on your own. It can be overwhelming sometimes, and I want to assure you that your feelings are perfectly valid."
loneliness_isolation,"Ah, my G. Sometimes na so e be. You go just dey miss your people, your day-ones. To dey new place alone, e fit heavy for body. No be small thing at all.","I hear you. It's completely normal to feel this way. You're likely missing your friends and family, your support system. Being in a new environment by yourself can be a heavy burden to carry."
loneliness_isolation,"E get as e be when you see say everybody get their squad, and you just dey on your own. E fit make your head wan scatter. But no be your fault, this connection thing no be beans.","It can be really difficult when it seems like everyone has their own group of friends and you feel like you're on the outside looking in. It's a frustrating feeling, but please know it's not your fault; making new connections takes time and isn't always easy."
loneliness_isolation,"Guy, this thing wey you dey feel, na real. Sometimes you gats show face for class, smile, but inside inside, your mind just dey blank. This loneliness wahala, e be like silent battle.","What you're experiencing is very real. There's often pressure to appear fine and attend classes with a smile, even when you're struggling internally. This feeling of loneliness can feel like a silent, personal battle."
loneliness_isolation,"Breathe, my person. Just breathe. E no easy, but try dey take am one step at a time. Even if na just to waka go buy something outside. Small movement fit help. Remember say you no dey alone for this struggle.","Please take a moment to breathe. I know this is difficult, but try to take things one step at a time. Even a small action, like taking a short walk to buy something, might help shift your perspective. Remember that you are not alone in feeling this way."
low_self_esteem,Abeg no let the pressure make you feel like you no try. You don survive every bad day so far. You are much stronger than your doubts.,Please do not let external pressure make you feel inadequate. You have survived every difficult day thus far. You are stronger than your doubts.
low_self_esteem,"Comparing yourself to other students na trap wey go just steal your joy. Your journey na your own, and you are doing better than you think.","Comparing yourself to your peers is a destructive habit. Your academic and personal journey is unique, and you are doing better than you realize."
low_self_esteem,"E dey hurt to feel like say you no measure up, but those negative thoughts are lying to you. Try remember one thing you are genuinely good at today.","It is painful to feel inadequate, but those negative thoughts are deceptive. Try to focus on one thing you are genuinely skilled at today."
low_self_esteem,"Omo, I feel you die. This school pressure fit make person feel like say dem no reach. E choke, I swear. But no let am weigh you down, you hear? Your own journey different.",I completely understand how you're feeling. The pressure from university can certainly make one feel inadequate. It can be overwhelming. But please try not to let it get to you; your path is unique.
low_self_esteem,"My guy, e be like say you dey look other people dey judge yourself. Everybody dey run their own race for this life. No dey use another person chapter twenty take measure your own chapter two. You be spec for your own lane.","My friend, it sounds like you might be comparing yourself to others. Everyone is on their own individual journey. It's not fair to measure your progress against someone who is at a different stage. You are exceptional in your own right."
low_self_esteem,"Ah, this feeling fit be strong thing. But abeg, try remember all the things wey you don achieve before. Even the small ones count. You pass JAMB, you enter uni... na doings be that! No belittle your wins.","Ah, this feeling can be very powerful. But please, try to remember all the things you have accomplished. Even the small victories matter. You passed your entrance exams and got into university... that's a significant achievement! Don't belittle your successes."
low_self_esteem,"See ehn, your head fit dey talk plenty negative talk now. Tell am to shut up. You no be everything wey that voice dey talk. You get power pass am. Just breathe. This one too go pass.","Listen, your mind might be filled with many negative thoughts right now. Try to challenge them. You are not defined by that inner critic. You are stronger than those thoughts. Just take a moment to breathe. This feeling will pass."
low_self_esteem,"E no easy, I know. No carry this heavy load for your head alone. E get people wey care for you. Your real guys, your family... even school counsellor sef. Gist with somebody, e go help you clear road small.","I know it isn't easy. Please don't carry this heavy burden all by yourself. There are people who care about you. Your close friends, your family, and even the university counsellors are available. Talking to someone can help bring some clarity."
panic_attack,"If your chest dey tight you and your heart dey beat fast, abeg sit down right now. You are safe. Breathe in slowly, and blow am out through your mouth.","If you are experiencing chest tightness and a rapid heartbeat, please sit down. You are safe. Breathe in slowly through your nose, and exhale through your mouth."
panic_attack,"This panic fit make you feel like say you are losing control, but your body is just overwhelmed. Focus on my words: you no dey danger. Just keep breathing.","A panic attack can create a terrifying feeling of losing control, but it is just your body reacting to stress. You are not in danger. Focus on your breathing."
panic_attack,"This wave of panic feels terrible, I know. Put your feet flat on the floor and try count backwards from 100. Make we slowly bring your heart rate down.",This wave of panic is frightening. Place your feet flat on the ground and try counting backwards from 100 to help slowly lower your heart rate.
panic_attack,"Omo, calm down! Your body dey shake, I feel you. Abeg, find somewhere sidon first. Just dey breathe... enter, commot... slow slow. Dis feeling go pass, you hear?",Please try to calm down. I understand you're trembling. Find a place to sit down. Just focus on your breathing... inhale and exhale... slowly. This feeling will pass.
panic_attack,"Guy, this school stress na bastard. E fit make person head wan scatter. No be small thing wey you dey face. Make you no blame yourself at all. Your body just dey tell you say make you rest small.","The pressure from university can be overwhelming and might make you feel like you're losing control. What you're experiencing is significant, so please don't blame yourself. Your body is signaling that you need to rest."
panic_attack,"E go be like say your heart wan jump comot from your chest, abi? I know that kain feeling. E dey very scary but trust me, na just your body wey dey over-react. You no dey die, I promise you.","It might feel as though your heart is beating out of your chest, right? I am familiar with that sensation. It's very frightening, but be assured that it's a physiological overreaction. I promise you are not dying."
panic_attack,"My G, try dis one for me. Look around you now now. Tell me five things wey you fit see. Just name them for your head. E go help you commot your mind from the fear.","My friend, please try this for me. Look around your immediate environment. Can you identify five things you can see? Just name them in your head. It will help distract your mind from the fear."
panic_attack,"Breathe my dear, just breathe. This thing wey dey happen now, e no go last forever. E strong well well but you strong pass am. We go figure this thing out together, no worry. You no dey alone.","Please just focus on breathing. What is happening right now will not last forever. The feeling is incredibly intense, but you are stronger than it is. We will figure this out together, don't worry. You are not alone."
paranoia_trust_issues,Feeling like say you cannot trust anybody around you na very lonely place to be. Take a deep breath. You are safe in this conversation right now.,"Feeling an inability to trust anyone around you is deeply isolating. Take a deep breath. You are in a safe, confidential space in this conversation."
paranoia_trust_issues,"When your mind dey tell you say everybody dey against you, e terrifying. Try to ground yourself in facts right now, rather than the fears your brain dey create.",It is terrifying when your mind suggests everyone is against you. Try to ground yourself in verifiable facts rather than the fears your anxiety is producing.
